Название;Автор;Рейтинг;Старая цена;Новая цена;Издательство;Год издания;ISBN;Обложка;Описание
Собаки на службе;Лора Гривз;4;679 ₽;108 ₽;Эксмо;2021;978-5-04-111873-0;https://cdn.img-gorod.ru/310x500/nomenclature/28/765/2876540.jpg;Лора Гривз — титулованная журналистка, писательница и заядлая собачница, чем очень гордится. Уже почти двадцать лет она публикуется в газетах и журналах Австралии, а также за рубежом, и в прошлом была редактором журнала Dogs Life («Собачья жизнь»). Последние восемь лет Лора работает на фрилансе и пишет тексты для разнообразных печатных и интернет-изданий, посвященных домашним питомцам, и в особенности собакам. Ее перу принадлежат сборник Incredible Dog Journeys («Невероятные собачьи путешествия»), а также три повести Be My Baby («Будь моей малышкой»), The Ex-Factor («Х-Фактор») и Two Weeks ‘Til Christmas («За две недели до рождества»), в которых, разумеется, дело никак не обходится без смышленых собак.  Вы даже не представляете, на что способны наши четвероногие друзья! Шелковистый терьер Молли Полли помогает своим юным хозяйкам. Молли опекает девочек, оказывая медицинскую и психологическую помощь. Вот такая собака-многозадачница.   Тунца подобрали на обочине недалеко от Сан-Диего — вы бы видели этого чивини (помесь чихуахуа и таксы). У него даже есть аккаунт в Инстаграме.  Бордер-колли Бейли — замдиректора по чайкам. Этот пушистик работает на Австралийский национальный морской музей. Речь о тех самых чайках, которые орут и крадут чипсы из рук, ну и… оставляют следы преступлений. Собаки из разных уголков мира, о которых рассказывает Лора Гривз, настоящие работяги. Если бы они умели говорить, то никогда не сказали бы «мне нет дела». Собаки на службе трудятся круглосуточно. Даже когда устали, голодны или просто не в настроении.  Это вдохновляющие, порой невероятные, добрые и полные любви истории о храбрых псах, которые каждый день делают мир лучше.
Сова по имени Уэсли. История любви совы и человека;Стэйси О'Брайен;4.33;Отсутствует;829 ₽;Livebook;2019;978-5-907056-27-5;https://cdn.img-gorod.ru/310x500/nomenclature/27/351/2735187.jpg;"14 февраля 1985 года Стэйси О’Брайен встретила четырехдневного совенка со сломанным крылом и назвала его Уэсли. Последующие 19 лет они провели вместе...Стэйси получила уникальную возможность наблюдать. за жизнью сипухи, изучать птичьи привычки и поведение, .а также совершать невероятные открытия, которым поражались профессора Калтеха...Но «Сова по имени Уэсли» – история не про научные открытия. Это история про поддержку, понимание и силу дружбы. Это трогательный и светлый рассказ о невероятно умной, любящей и верной сове, которая смогла изменить человеческую жизнь. ..Книга издана с архивными фотографиями Стэйси и Уэсли."
Тайна уличного кота;Джеймс Боуэн;4.4;629 ₽;415 ₽;Рипол-Классик;2019;978-5-386-12602-5;https://cdn.img-gorod.ru/310x500/nomenclature/27/367/2736719.jpg;Джеймс Боуэн — уличный лондонский музыкант. Мировую известность он приобрел благодаря своему коту Бобу. Трогательной истории их отношений посвящена серия книг, написанных Боуэном. В этой книге он делится с читателями уроками жизненной мудрости, которые преподал ему Боб.
Записки путешествующего ветеринара: нескучные истории о диких пациентах;Джонатан Крэнстон;4.8;729 ₽;600 ₽;Эксмо;2019;978-5-04-098372-8;https://cdn.img-gorod.ru/310x500/nomenclature/27/408/2740849.jpg;Для всех любителей увлекательного, захватывающего и эмоционального чтива книга известного во всем мире английского ветеринара Джонатана Крэнстона станет поразительным погружением в мир дикой природы. Вы будете смеяться и плакать, но не сможете оторваться от чтения, потому что все эти истории не могли случиться с обычным ветеринаром, но вы будете рады, что они случились! Джонатан Крэнстон побывал на пяти континентах и лечил более ста различных видов животных, включая гигантских панд в Китае, крокодилов и носорогов в Южной Африке и других диких зверей. В своей увлекательной манере автор знакомит с некоторыми из своих любимых пациентов — от любимых домашних питомцев до великолепных диких животных. Будь то микрочипирование броненосцев, обезболивание жирафов или рождение теленка, любовь Джонатана к своей работе и всему животному царству заразительна. Его истории, от нелепых (кастрирование сахарной сумчатой летяги) до опасных (столкновение с жертвами браконьерства носорога), восхитят и очаруют каждого любителя животных.
Счастливая лиса Джунипер;Джессика Кокер;4.5;949 ₽;786 ₽;АСТ;2019;978-5-17-115364-9;https://cdn.img-gorod.ru/310x500/nomenclature/27/511/2751125.jpg;Лиса, завоевавшая сердца миллионов людей в Instagram! Если вы хотите лишний раз улыбнуться, то вы нашли повод для этого! Джунипер – самая счастливая домашняя лиса. Она здесь, чтобы поделиться с вами своей очаровательной улыбкой и яркой натурой. Из этой книги вы узнаете историю о реальной жизни лисы в качестве домашнего питомца, о ее взаимоотношениях с собакой по кличке Муз, ее художественных способностях (она рисует лапами!), а также о веселых ситуациях, в которые она регулярно попадает.
Белый пудель;Александр Куприн;5;Отсутствует;479 ₽;Детская литература;2022;978-5-08-006564-4;https://cdn.img-gorod.ru/310x500/nomenclature/15/190/1519062.jpg;"В сборник вошли замечательные рассказы известного русского писателя Александра Ивановича Куприна (1870-1938) о детях и о животных: о побеге из казенного пансиона (""Храбрые беглецы""), о ночной ловле раков (""На реке""), о дворовом псе Барбосе и комнатной Жульке (""Барбос и Жулька""), об артистичном белом пуделе Арто и отважном мальчике Сергее (""Белый пудель"") и другие (среди которых ""Чудесный доктор"", ""Изумруд"", ""Тапер""). Для среднего школьного возраста."
Я ненавижу своих котов (История любви);Давид Кали;4;929 ₽;624 ₽;Открытая книга;2019;978-985-7151-77-6;https://cdn.img-gorod.ru/310x500/nomenclature/27/604/2760420.jpg;"Эта забавная и правдивая книга - дань уважения всему кошачьему миру, чествование наших таких замечательных, и таких загадочных друзей, их мурр-шалостей и всего, что с ними связано..Познакомьтесь - Джинджер, кошка с причудами. Она играет с горошинами, и неровно дышит к курочкам..Есть еще Фред. В чем он преуспел? В лени. Да, и еще в игре в прятки. Если он не прячется, значит они вместе с Джинджер выполняют план по разрушению дома....Такова жизнь с котами: с ними невозможно и без них тоже. И все-таки в этом есть какая-то загадка: почему они нам так нравится, если постоянно выводят нас из себя?."
Тайна уличного кота;Джеймс Боуэн;4;529 ₽;342 ₽;Рипол-Классик;2019;978-5-386-13505-8;https://cdn.img-gorod.ru/310x500/nomenclature/27/734/2773417.jpg;Джеймс Боуэн - уличный лондонский музыкант. Мировую известность он приобрел благодаря своему коту Бобу. Трогательной истории их отношений посвящена серия книг, написанных Боуэном. В этой книге он делится с читателями уроками жизненной мудрости, которые преподал ему Боб.
Гоби: маленькая собака с очень большим сердцем;Дион Леонард;4.6;599 ₽;492 ₽;АСТ;2020;978-5-17-107376-3;https://cdn.img-gorod.ru/310x500/nomenclature/27/850/2785081.jpg;"Примерно в середине пути изнуряющей ультра марафонской гонки по китайской части пустыни Гоби, Диону Леонарду, опытному марафонцу, встретилась маленькая бездомная собачка. Шагая вместе с Дионом через горы Тянь-Шаня, массивные песчаные дюны, юртовые поселки и черные пески пустыни Гоби, она доказала, что недостаток роста можно с лихвой компенсировать большим сердцем. Он назвал ее Гоби.Когда Гоби пропала в огромном китайском городе, Диону с невероятными усилиями все-таки удалось опять оказаться вместе с удивительным животным, которое изменило его жизнь и показало ему и миру, что чудеса возможны.""Эта собачка изменила меня, и я только начинаю понимать, насколько. А может быть, и никогда не пойму этого до конца.Знаю одно - поиск Гоби был самым трудным из всех дел, которые я когда-либо совершал. А то, что она нашла меня - одним из самых счастливых событий в моей жизни""."
Дом для друга. История предательства и дружбы;Отсутствует;5;Отсутствует;379 ₽;Альпина Паблишер;2020;978-5-9614-3302-9;https://cdn.img-gorod.ru/310x500/nomenclature/27/869/2786920.jpg;Домашние животные — существа беззащитные и в большинстве случаев не могут без помощи человека справиться со своей бедой. А беды с ними, увы, случаются.Кто-то теряется. Кого-то, как Норда, оставляют на улице хозяева. Иногда бывает так, что человек умирает, а его питомца не могут забрать к себе ни родственники, ни друзья. И тогда животное оказывается на улице. Домашние собаки и кошки не умеют сами добывать себе пищу и без помощи человека обречены на гибель.Часто брошенных зверей подбирают неравнодушные люди и передают их в приюты, как случилось с Нордом. Но и там им очень нужны уход, забота и добрые руки нового хозяина.Конечно, не каждый может взять домой животное из питомника. Но если ты хочешь сделать что-то хорошее для таких зверей — можно помочь самому приюту. Купить и привезти корм и лекарства, помочь с выгулом и уборкой, да и просто провести время с животными — поиграть, погладить.Очень важно помнить главное: ответственность за жизнь и здоровье домашнего питомца несёт человек. Собаки и кошки — не живые игрушки, а разумные, преданные людям существа, и их нельзя выбрасывать на улицу, если они вдруг надоели, стали старыми или тяжело заболели.
